category_id,category_name,department,sales_quarter,total_orders,total_units_sold,quarterly_revenue,quarterly_gross_profit,prev_quarter_revenue,qoq_revenue_growth_pct,trajectory_status
CAT-002,Laptops & Computing,Electronics,2022-Q2,1,1,1699.99,849.99,,0.0,Flat / Baseline
CAT-002,Laptops & Computing,Electronics,2022-Q3,4,4,1664.46,824.46,1699.99,-2.09,Moderate Decline (Watchlist)
CAT-002,Laptops & Computing,Electronics,2022-Q4,16,19,16651.31,8191.31,1664.46,900.4,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2023-Q1,20,25,13004.25,6410.25,16651.31,-21.9,Critical Decline (Immediate Action Required)
CAT-002,Laptops & Computing,Electronics,2023-Q2,33,43,34882.07,16680.07,13004.25,168.24,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2023-Q3,43,53,33626.97,16832.97,34882.07,-3.6,Moderate Decline (Watchlist)
CAT-002,Laptops & Computing,Electronics,2023-Q4,53,69,33051.81,16911.81,33626.97,-1.71,Moderate Decline (Watchlist)
CAT-002,Laptops & Computing,Electronics,2024-Q1,67,88,54774.62,27242.62,33051.81,65.72,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2024-Q2,102,125,85461.75,42615.75,54774.62,56.02,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2024-Q3,105,130,102569.7,49309.7,85461.75,20.02,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2024-Q4,134,162,105568.38,52662.38,102569.7,2.92,Healthy Growth
CAT-002,Laptops & Computing,Electronics,2025-Q1,227,291,187406.09,94198.09,105568.38,77.52,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2025-Q2,106,135,92090.65,45534.65,187406.09,-50.86,Critical Decline (Immediate Action Required)
CAT-002,Laptops & Computing,Electronics,2025-Q3,148,194,143092.56,72016.56,92090.65,55.38,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2025-Q4,200,241,169509.09,84235.09,143092.56,18.46,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2026-Q1,232,292,180929.58,89709.58,169509.09,6.74,Healthy Growth
CAT-002,Laptops & Computing,Electronics,2026-Q2,297,389,274520.11,136946.11,180929.58,51.73,Strong Expansion
CAT-002,Laptops & Computing,Electronics,2026-Q3,237,319,179059.81,90541.81,274520.11,-34.77,Critical Decline (Immediate Action Required)
CAT-003,Audio & Headphones,Electronics,2022-Q3,2,2,169.98,111.98,,0.0,Flat / Baseline
CAT-003,Audio & Headphones,Electronics,2022-Q4,15,19,2319.31,1535.31,169.98,1264.46,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2023-Q1,9,12,2031.38,1285.38,2319.31,-12.41,Moderate Decline (Watchlist)
CAT-003,Audio & Headphones,Electronics,2023-Q2,27,33,4937.67,3221.67,2031.38,143.07,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2023-Q3,27,37,5249.63,3439.63,4937.67,6.32,Healthy Growth
CAT-003,Audio & Headphones,Electronics,2023-Q4,39,50,7349.0,4737.0,5249.63,39.99,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2024-Q1,52,61,8572.89,5574.89,7349.0,16.65,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2024-Q2,75,95,14333.05,9350.05,8572.89,67.19,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2024-Q3,79,102,13936.48,9020.48,14333.05,-2.77,Moderate Decline (Watchlist)
CAT-003,Audio & Headphones,Electronics,2024-Q4,116,150,20253.5,13190.5,13936.48,45.33,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2025-Q1,136,175,24228.75,15864.75,20253.5,19.63,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2025-Q2,66,86,12469.14,8149.14,24228.75,-48.54,Critical Decline (Immediate Action Required)
CAT-003,Audio & Headphones,Electronics,2025-Q3,90,111,15164.89,9939.89,12469.14,21.62,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2025-Q4,114,147,22597.53,14634.53,15164.89,49.01,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2026-Q1,149,192,28436.08,18544.08,22597.53,25.84,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2026-Q2,244,304,41937.96,27495.96,28436.08,47.48,Strong Expansion
CAT-003,Audio & Headphones,Electronics,2026-Q3,151,178,23111.22,15120.22,41937.96,-44.89,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2022-Q3,4,4,213.97,147.97,,0.0,Flat / Baseline
CAT-004,Men's Apparel,Fashion,2022-Q4,11,13,832.17,547.17,213.97,288.92,Strong Expansion
CAT-004,Men's Apparel,Fashion,2023-Q1,18,21,2175.11,1358.11,832.17,161.38,Strong Expansion
CAT-004,Men's Apparel,Fashion,2023-Q2,19,26,1707.55,1114.55,2175.11,-21.5,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2023-Q3,32,40,4283.83,2655.83,1707.55,150.88,Strong Expansion
CAT-004,Men's Apparel,Fashion,2023-Q4,31,39,3027.94,1965.94,4283.83,-29.32,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2024-Q1,43,57,5548.4,3514.4,3027.94,83.24,Strong Expansion
CAT-004,Men's Apparel,Fashion,2024-Q2,89,113,12070.85,7439.85,5548.4,117.56,Strong Expansion
CAT-004,Men's Apparel,Fashion,2024-Q3,95,117,10046.61,6367.61,12070.85,-16.77,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2024-Q4,111,142,13223.33,8335.33,10046.61,31.62,Strong Expansion
CAT-004,Men's Apparel,Fashion,2025-Q1,138,179,17116.9,10752.9,13223.33,29.44,Strong Expansion
CAT-004,Men's Apparel,Fashion,2025-Q2,79,100,8814.23,5584.23,17116.9,-48.51,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2025-Q3,66,79,6865.46,4315.46,8814.23,-22.11,Critical Decline (Immediate Action Required)
CAT-004,Men's Apparel,Fashion,2025-Q4,120,160,14980.74,9435.74,6865.46,118.2,Strong Expansion
CAT-004,Men's Apparel,Fashion,2026-Q1,155,186,18206.17,11400.17,14980.74,21.53,Strong Expansion
CAT-004,Men's Apparel,Fashion,2026-Q2,255,322,30978.45,19390.45,18206.17,70.15,Strong Expansion
CAT-004,Men's Apparel,Fashion,2026-Q3,134,171,15176.88,9504.88,30978.45,-51.01,Critical Decline (Immediate Action Required)
CAT-005,Women's Apparel,Fashion,2022-Q3,1,2,98.3,69.3,,0.0,Flat / Baseline
CAT-005,Women's Apparel,Fashion,2022-Q4,6,9,681.4,454.4,98.3,593.18,Strong Expansion
CAT-005,Women's Apparel,Fashion,2023-Q1,18,26,2540.2,1754.2,681.4,272.79,Strong Expansion
CAT-005,Women's Apparel,Fashion,2023-Q2,22,25,2294.7,1575.7,2540.2,-9.66,Moderate Decline (Watchlist)
CAT-005,Women's Apparel,Fashion,2023-Q3,26,36,2667.6,1846.6,2294.7,16.25,Strong Expansion
CAT-005,Women's Apparel,Fashion,2023-Q4,37,43,3586.35,2456.35,2667.6,34.44,Strong Expansion
CAT-005,Women's Apparel,Fashion,2024-Q1,57,80,6988.75,4823.75,3586.35,94.87,Strong Expansion
CAT-005,Women's Apparel,Fashion,2024-Q2,70,93,8199.3,5615.3,6988.75,17.32,Strong Expansion
CAT-005,Women's Apparel,Fashion,2024-Q3,75,96,7696.8,5341.8,8199.3,-6.13,Moderate Decline (Watchlist)
CAT-005,Women's Apparel,Fashion,2024-Q4,105,137,11894.15,8203.15,7696.8,54.53,Strong Expansion
CAT-005,Women's Apparel,Fashion,2025-Q1,145,192,16368.05,11385.05,11894.15,37.61,Strong Expansion
CAT-005,Women's Apparel,Fashion,2025-Q2,79,104,8468.2,5827.2,16368.05,-48.26,Critical Decline (Immediate Action Required)
CAT-005,Women's Apparel,Fashion,2025-Q3,103,122,9789.4,6760.4,8468.2,15.6,Strong Expansion
CAT-005,Women's Apparel,Fashion,2025-Q4,102,125,10623.75,7346.75,9789.4,8.52,Healthy Growth
CAT-005,Women's Apparel,Fashion,2026-Q1,170,228,20550.05,14167.05,10623.75,93.43,Strong Expansion
CAT-005,Women's Apparel,Fashion,2026-Q2,209,269,23291.25,16010.25,20550.05,13.34,Healthy Growth
CAT-005,Women's Apparel,Fashion,2026-Q3,159,200,16188.3,11195.3,23291.25,-30.5,Critical Decline (Immediate Action Required)
CAT-006,Footwear & Sneakers,Fashion,2022-Q3,3,3,359.97,248.97,,0.0,Flat / Baseline
CAT-006,Footwear & Sneakers,Fashion,2022-Q4,8,10,1337.4,892.4,359.97,271.53,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2023-Q1,13,14,1825.36,1237.36,1337.4,36.49,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2023-Q2,23,26,2093.74,1410.74,1825.36,14.7,Healthy Growth
CAT-006,Footwear & Sneakers,Fashion,2023-Q3,29,34,4094.16,2700.16,2093.74,95.54,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2023-Q4,39,46,4920.54,3307.54,4094.16,20.18,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2024-Q1,51,65,7392.35,4996.35,4920.54,50.23,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2024-Q2,64,81,7844.69,5244.69,7392.35,6.12,Healthy Growth
CAT-006,Footwear & Sneakers,Fashion,2024-Q3,76,92,11417.08,7659.08,7844.69,45.54,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2024-Q4,108,139,15150.11,10179.11,11417.08,32.7,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2025-Q1,132,171,17948.79,12140.79,15150.11,18.47,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2025-Q2,74,90,10050.6,6792.6,17948.79,-44.0,Critical Decline (Immediate Action Required)
CAT-006,Footwear & Sneakers,Fashion,2025-Q3,97,119,12005.81,8048.81,10050.6,19.45,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2025-Q4,151,192,21658.08,14544.08,12005.81,80.4,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2026-Q1,153,180,19125.7,12819.7,21658.08,-11.69,Moderate Decline (Watchlist)
CAT-006,Footwear & Sneakers,Fashion,2026-Q2,205,250,27141.5,18285.5,19125.7,41.91,Strong Expansion
CAT-006,Footwear & Sneakers,Fashion,2026-Q3,170,225,23077.25,15670.25,27141.5,-14.97,Moderate Decline (Watchlist)
CAT-007,Kitchen Appliances,Home & Kitchen,2022-Q2,1,2,99.98,63.98,,0.0,Flat / Baseline
CAT-007,Kitchen Appliances,Home & Kitchen,2022-Q3,3,5,407.95,257.95,99.98,308.03,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2022-Q4,11,18,2577.82,1538.82,407.95,531.9,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2023-Q1,15,18,3067.32,1849.32,2577.82,18.99,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2023-Q2,27,36,7127.14,4357.14,3067.32,132.36,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2023-Q3,28,40,5623.1,3491.1,7127.14,-21.1,Critical Decline (Immediate Action Required)
CAT-007,Kitchen Appliances,Home & Kitchen,2023-Q4,44,58,8348.42,5174.42,5623.1,48.47,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2024-Q1,53,65,10427.35,6431.35,8348.42,24.9,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2024-Q2,78,100,17263.5,10530.5,10427.35,65.56,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2024-Q3,81,99,17866.01,10916.01,17263.5,3.49,Healthy Growth
CAT-007,Kitchen Appliances,Home & Kitchen,2024-Q4,104,121,19820.29,12216.29,17866.01,10.94,Healthy Growth
CAT-007,Kitchen Appliances,Home & Kitchen,2025-Q1,145,190,29353.6,18164.6,19820.29,48.1,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2025-Q2,82,106,14217.44,8710.44,29353.6,-51.56,Critical Decline (Immediate Action Required)
CAT-007,Kitchen Appliances,Home & Kitchen,2025-Q3,89,110,15659.4,9578.4,14217.44,10.14,Healthy Growth
CAT-007,Kitchen Appliances,Home & Kitchen,2025-Q4,119,150,24904.0,15347.0,15659.4,59.04,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2026-Q1,149,187,34968.63,21700.63,24904.0,40.41,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2026-Q2,206,249,42483.51,26180.51,34968.63,21.49,Strong Expansion
CAT-007,Kitchen Appliances,Home & Kitchen,2026-Q3,167,211,40041.89,24562.89,42483.51,-5.75,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2022-Q3,1,1,149.0,104.0,,0.0,Flat / Baseline
CAT-008,Home Decor & Lighting,Home & Kitchen,2022-Q4,12,14,830.28,570.28,149.0,457.23,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2023-Q1,16,23,2021.02,1375.02,830.28,143.41,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2023-Q2,21,23,1951.05,1347.05,2021.02,-3.46,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2023-Q3,25,30,1998.36,1360.36,1951.05,2.42,Healthy Growth
CAT-008,Home Decor & Lighting,Home & Kitchen,2023-Q4,48,56,3909.37,2706.37,1998.36,95.63,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2024-Q1,62,83,6252.94,4302.94,3909.37,59.95,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2024-Q2,67,84,6154.23,4212.23,6252.94,-1.58,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2024-Q3,77,93,6001.67,4110.67,6154.23,-2.48,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2024-Q4,93,119,7339.3,5038.3,6001.67,22.29,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2025-Q1,83,100,6768.86,4637.86,7339.3,-7.77,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2025-Q2,29,39,3059.45,2075.45,6768.86,-54.8,Critical Decline (Immediate Action Required)
CAT-008,Home Decor & Lighting,Home & Kitchen,2025-Q3,53,69,4956.57,3396.57,3059.45,62.01,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2025-Q4,90,118,8385.98,5743.98,4956.57,69.19,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2026-Q1,90,106,8259.56,5629.56,8385.98,-1.51,Moderate Decline (Watchlist)
CAT-008,Home Decor & Lighting,Home & Kitchen,2026-Q2,130,171,11957.58,8202.58,8259.56,44.77,Strong Expansion
CAT-008,Home Decor & Lighting,Home & Kitchen,2026-Q3,92,110,8611.6,5906.6,11957.58,-27.98,Critical Decline (Immediate Action Required)
CAT-009,Fitness & Exercise,Sports & Fitness,2022-Q3,1,2,499.98,339.98,,0.0,Flat / Baseline
CAT-009,Fitness & Exercise,Sports & Fitness,2022-Q4,15,20,2581.33,1692.33,499.98,416.29,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2023-Q1,9,13,1598.87,1079.37,2581.33,-38.06,Critical Decline (Immediate Action Required)
CAT-009,Fitness & Exercise,Sports & Fitness,2023-Q2,22,24,2537.48,1741.48,1598.87,58.7,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2023-Q3,37,50,4417.01,3000.51,2537.48,74.07,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2023-Q4,36,50,4355.07,2925.57,4417.01,-1.4,Moderate Decline (Watchlist)
CAT-009,Fitness & Exercise,Sports & Fitness,2024-Q1,52,66,4804.76,3284.26,4355.07,10.33,Healthy Growth
CAT-009,Fitness & Exercise,Sports & Fitness,2024-Q2,75,96,9116.33,6133.33,4804.76,89.74,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2024-Q3,87,111,7643.79,5208.79,9116.33,-16.15,Critical Decline (Immediate Action Required)
CAT-009,Fitness & Exercise,Sports & Fitness,2024-Q4,115,153,15244.34,10206.34,7643.79,99.43,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2025-Q1,159,184,17737.39,12017.39,15244.34,16.35,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2025-Q2,79,102,9710.92,6520.92,17737.39,-45.25,Critical Decline (Immediate Action Required)
CAT-009,Fitness & Exercise,Sports & Fitness,2025-Q3,90,112,8648.06,5850.06,9710.92,-10.94,Moderate Decline (Watchlist)
CAT-009,Fitness & Exercise,Sports & Fitness,2025-Q4,115,136,14583.85,9811.85,8648.06,68.64,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2026-Q1,149,180,15687.89,10539.89,14583.85,7.57,Healthy Growth
CAT-009,Fitness & Exercise,Sports & Fitness,2026-Q2,235,300,27510.33,18527.33,15687.89,75.36,Strong Expansion
CAT-009,Fitness & Exercise,Sports & Fitness,2026-Q3,160,198,17957.64,12061.64,27510.33,-34.72,Critical Decline (Immediate Action Required)
CAT-010,Outdoor & Camping,Sports & Fitness,2022-Q3,5,6,500.94,333.94,,0.0,Flat / Baseline
CAT-010,Outdoor & Camping,Sports & Fitness,2022-Q4,11,15,1674.35,1120.35,500.94,234.24,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2023-Q1,15,24,2693.76,1758.76,1674.35,60.88,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2023-Q2,26,33,3545.17,2323.17,2693.76,31.61,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2023-Q3,37,39,3836.61,2537.61,3545.17,8.22,Healthy Growth
CAT-010,Outdoor & Camping,Sports & Fitness,2023-Q4,38,44,4362.06,2856.06,3836.61,13.7,Healthy Growth
CAT-010,Outdoor & Camping,Sports & Fitness,2024-Q1,54,75,7662.25,4992.25,4362.06,75.66,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2024-Q2,65,78,8604.72,5699.72,7662.25,12.3,Healthy Growth
CAT-010,Outdoor & Camping,Sports & Fitness,2024-Q3,74,87,8305.63,5451.63,8604.72,-3.48,Moderate Decline (Watchlist)
CAT-010,Outdoor & Camping,Sports & Fitness,2024-Q4,112,137,13897.63,9120.63,8305.63,67.33,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2025-Q1,105,123,12519.27,8192.27,13897.63,-9.92,Moderate Decline (Watchlist)
CAT-010,Outdoor & Camping,Sports & Fitness,2025-Q2,41,43,3921.07,2606.07,12519.27,-68.68,Critical Decline (Immediate Action Required)
CAT-010,Outdoor & Camping,Sports & Fitness,2025-Q3,69,89,10397.11,6795.11,3921.07,165.16,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2025-Q4,66,79,9396.71,6187.71,10397.11,-9.62,Moderate Decline (Watchlist)
CAT-010,Outdoor & Camping,Sports & Fitness,2026-Q1,87,110,10598.4,6999.4,9396.71,12.79,Healthy Growth
CAT-010,Outdoor & Camping,Sports & Fitness,2026-Q2,119,144,14370.06,9398.06,10598.4,35.59,Strong Expansion
CAT-010,Outdoor & Camping,Sports & Fitness,2026-Q3,104,127,11697.23,7684.23,14370.06,-18.6,Critical Decline (Immediate Action Required)
CAT-011,Skincare & Beauty,Beauty & Personal Care,2022-Q3,4,5,152.9,115.9,,0.0,Flat / Baseline
CAT-011,Skincare & Beauty,Beauty & Personal Care,2022-Q4,13,18,543.4,413.4,152.9,255.4,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2023-Q1,19,23,760.9,584.9,543.4,40.03,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2023-Q2,18,23,705.2,540.2,760.9,-7.32,Moderate Decline (Watchlist)
CAT-011,Skincare & Beauty,Beauty & Personal Care,2023-Q3,30,39,1344.4,1033.9,705.2,90.64,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2023-Q4,26,34,1081.4,826.4,1344.4,-19.56,Critical Decline (Immediate Action Required)
CAT-011,Skincare & Beauty,Beauty & Personal Care,2024-Q1,56,72,2340.4,1795.9,1081.4,116.42,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2024-Q2,67,90,2910.2,2230.7,2340.4,24.35,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2024-Q3,95,125,4122.0,3155.5,2910.2,41.64,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2024-Q4,120,149,4755.3,3653.3,4122.0,15.36,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2025-Q1,196,253,8301.6,6369.1,4755.3,74.58,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2025-Q2,103,131,4219.9,3242.9,8301.6,-49.17,Critical Decline (Immediate Action Required)
CAT-011,Skincare & Beauty,Beauty & Personal Care,2025-Q3,131,172,5669.4,4360.4,4219.9,34.35,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2025-Q4,154,211,6960.5,5358.5,5669.4,22.77,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2026-Q1,177,220,7131.2,5464.7,6960.5,2.45,Healthy Growth
CAT-011,Skincare & Beauty,Beauty & Personal Care,2026-Q2,262,350,11592.0,8918.0,7131.2,62.55,Strong Expansion
CAT-011,Skincare & Beauty,Beauty & Personal Care,2026-Q3,212,266,8816.0,6768.5,11592.0,-23.95,Critical Decline (Immediate Action Required)
CAT-012,Books & Stationery,Books & Office,2022-Q3,2,3,79.17,62.17,,0.0,Flat / Baseline
CAT-012,Books & Stationery,Books & Office,2022-Q4,12,17,536.68,428.68,79.17,577.88,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2023-Q1,20,28,760.37,603.37,536.68,41.68,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2023-Q2,30,41,1178.94,938.94,760.37,55.05,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2023-Q3,37,53,1590.62,1270.12,1178.94,34.92,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2023-Q4,39,47,1422.23,1136.73,1590.62,-10.59,Moderate Decline (Watchlist)
CAT-012,Books & Stationery,Books & Office,2024-Q1,52,65,1997.85,1598.85,1422.23,40.47,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2024-Q2,73,84,2392.51,1894.51,1997.85,19.75,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2024-Q3,69,92,2901.63,2316.63,2392.51,21.28,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2024-Q4,131,163,4840.42,3857.42,2901.63,66.82,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2025-Q1,178,217,6977.48,5576.48,4840.42,44.15,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2025-Q2,65,85,2866.45,2296.95,6977.48,-58.92,Critical Decline (Immediate Action Required)
CAT-012,Books & Stationery,Books & Office,2025-Q3,102,133,4246.82,3391.82,2866.45,48.16,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2025-Q4,106,126,3591.89,2856.89,4246.82,-15.42,Critical Decline (Immediate Action Required)
CAT-012,Books & Stationery,Books & Office,2026-Q1,144,187,5212.68,4138.18,3591.89,45.12,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2026-Q2,206,249,7639.81,6091.81,5212.68,46.56,Strong Expansion
CAT-012,Books & Stationery,Books & Office,2026-Q3,150,189,5882.46,4696.96,7639.81,-23.0,Critical Decline (Immediate Action Required)
