order_id,customer_id,order_date,order_status,payment_method,sales_channel,shipping_cost,discount_amount,total_amount
ORD-000104,CUST-00006,2024-03-05 21:27:00,Completed,Apple Pay,Mobile App,0.0,0.0,29.99
ORD-000105,CUST-00006,2024-06-01 16:54:00,Completed,Credit Card,Affiliate,14.99,0.0,164.98
ORD-000106,CUST-00006,2024-06-25 20:36:00,Cancelled,BNPL (Klarna/Affirm),Mobile App,9.99,16.5,158.46
ORD-000107,CUST-00006,2024-10-17 00:39:00,Completed,PayPal,Affiliate,0.0,45.0,854.99
ORD-000108,CUST-00006,2024-12-03 14:33:00,Completed,Credit Card,Mobile App,0.0,255.0,1444.99
ORD-000109,CUST-00006,2025-03-28 23:09:00,Completed,Credit Card,Mobile App,4.99,2.4,238.58
ORD-000110,CUST-00006,2025-06-25 15:18:00,Completed,Credit Card,Affiliate,14.99,8.0,256.97
ORD-000111,CUST-00006,2025-07-22 02:35:00,Cancelled,Credit Card,Mobile App,4.99,0.0,1154.97
ORD-000112,CUST-00006,2025-08-01 10:40:00,Completed,PayPal,Web,4.99,33.5,381.47
ORD-000113,CUST-00006,2025-10-17 06:48:00,Completed,Credit Card,Web,0.0,401.5,4228.46
ORD-000114,CUST-00006,2025-10-18 10:04:00,Completed,BNPL (Klarna/Affirm),Web,0.0,6.0,33.99
ORD-000115,CUST-00006,2026-02-28 03:34:00,Completed,BNPL (Klarna/Affirm),Web,0.0,6.5,138.48
ORD-000116,CUST-00006,2026-02-28 22:47:00,Completed,Credit Card,Web,9.99,85.9,762.08
ORD-000117,CUST-00006,2026-03-18 10:50:00,Completed,BNPL (Klarna/Affirm),Affiliate,0.0,13.35,171.63
ORD-000118,CUST-00006,2026-04-07 08:29:00,Completed,Apple Pay,Web,4.99,1.6,35.39
ORD-000119,CUST-00006,2026-04-09 13:56:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,4.5,85.47
ORD-000120,CUST-00006,2026-04-18 12:01:00,Completed,Credit Card,Mobile App,14.99,2.3,35.68
ORD-000121,CUST-00006,2026-04-21 16:03:00,Shipped,PayPal,Web,0.0,0.0,59.98
ORD-000122,CUST-00006,2026-05-11 02:36:00,Completed,PayPal,Mobile App,14.99,0.0,218.99
ORD-000123,CUST-00006,2026-07-13 16:23:00,Completed,PayPal,Web,9.99,0.0,84.96
ORD-000124,CUST-00006,2026-07-23 14:39:00,Cancelled,BNPL (Klarna/Affirm),Web,0.0,40.0,359.97
ORD-000125,CUST-00007,2022-12-07 02:16:00,Completed,PayPal,Web,14.99,0.0,1754.97
ORD-000126,CUST-00007,2023-03-17 12:18:00,Completed,Credit Card,Mobile App,14.99,0.0,204.98
ORD-000127,CUST-00007,2023-06-30 21:10:00,Completed,PayPal,Web,4.99,9.5,211.48
ORD-000128,CUST-00007,2023-09-11 23:19:00,Completed,Credit Card,Web,0.0,0.0,29.99
ORD-000129,CUST-00007,2023-10-14 17:39:00,Completed,PayPal,Web,0.0,84.0,2175.97
ORD-000130,CUST-00007,2023-11-13 11:10:00,Cancelled,Credit Card,Mobile App,9.99,0.0,89.98
ORD-000131,CUST-00007,2024-03-22 22:33:00,Completed,Apple Pay,Mobile App,0.0,3.5,31.49
ORD-000132,CUST-00007,2025-02-12 16:26:00,Completed,Credit Card,Mobile App,9.99,4.8,37.19
ORD-000133,CUST-00007,2025-04-23 06:17:00,Completed,PayPal,Affiliate,0.0,5.0,134.98
ORD-000134,CUST-00007,2025-08-08 14:20:00,Completed,Apple Pay,Web,0.0,60.0,589.97
ORD-000135,CUST-00007,2025-11-27 16:03:00,Completed,Apple Pay,Web,14.99,89.0,578.97
ORD-000136,CUST-00007,2025-12-02 11:34:00,Completed,Apple Pay,Web,0.0,13.75,131.23
ORD-000137,CUST-00007,2026-05-26 07:53:00,Completed,Apple Pay,Web,0.0,1.5,28.49
ORD-000138,CUST-00007,2026-06-29 20:54:00,Completed,Apple Pay,Mobile App,0.0,33.0,286.99
ORD-000139,CUST-00008,2025-10-27 03:12:00,Completed,BNPL (Klarna/Affirm),Affiliate,0.0,267.0,1512.98
ORD-000140,CUST-00008,2025-12-03 10:22:00,Completed,PayPal,Web,14.99,0.0,154.97
ORD-000141,CUST-00008,2025-12-04 20:25:00,Completed,PayPal,Affiliate,0.0,0.0,68.0
ORD-000142,CUST-00008,2026-01-08 05:20:00,Completed,Credit Card,Mobile App,0.0,0.0,96.0
ORD-000143,CUST-00008,2026-01-09 06:35:00,Completed,Apple Pay,Web,0.0,60.0,1139.98
ORD-000144,CUST-00008,2026-01-15 15:54:00,Completed,Apple Pay,Affiliate,0.0,35.0,314.97
ORD-000145,CUST-00008,2026-01-22 12:12:00,Completed,Apple Pay,Mobile App,9.99,0.0,159.97
ORD-000146,CUST-00008,2026-02-12 10:53:00,Completed,Credit Card,Mobile App,14.99,0.0,56.99
ORD-000147,CUST-00008,2026-03-03 22:31:00,Returned,BNPL (Klarna/Affirm),Mobile App,0.0,165.0,934.99
ORD-000148,CUST-00008,2026-03-24 03:58:00,Cancelled,Credit Card,Mobile App,0.0,4.0,285.96
ORD-000149,CUST-00008,2026-03-28 19:31:00,Shipped,Apple Pay,Web,0.0,0.0,34.99
ORD-000150,CUST-00008,2026-04-16 10:51:00,Cancelled,Credit Card,Affiliate,0.0,71.0,448.98
ORD-000151,CUST-00008,2026-05-12 11:49:00,Completed,PayPal,Web,0.0,39.0,756.96
ORD-000152,CUST-00008,2026-05-31 11:48:00,Completed,PayPal,Affiliate,0.0,6.5,5803.43
ORD-000153,CUST-00008,2026-07-05 22:41:00,Completed,PayPal,Web,0.0,3.2,60.8
ORD-000154,CUST-00008,2026-07-26 20:20:00,Completed,Apple Pay,Mobile App,0.0,0.0,549.99
ORD-000155,CUST-00008,2026-08-12 09:58:00,Completed,PayPal,Mobile App,0.0,12.0,67.99
ORD-000156,CUST-00008,2026-08-30 17:47:00,Completed,PayPal,Mobile App,14.99,0.0,84.98
ORD-000157,CUST-00009,2023-03-11 18:36:00,Cancelled,Credit Card,Mobile App,4.99,0.0,94.98
ORD-000158,CUST-00009,2023-03-22 17:56:00,Shipped,Apple Pay,Web,14.99,20.6,263.36
ORD-000159,CUST-00009,2023-08-11 16:09:00,Completed,Credit Card,Web,9.99,0.0,459.98
ORD-000160,CUST-00009,2023-08-23 20:39:00,Shipped,Apple Pay,Affiliate,0.0,4.2,37.8
ORD-000161,CUST-00009,2023-09-22 11:06:00,Completed,BNPL (Klarna/Affirm),Affiliate,0.0,0.0,79.99
ORD-000162,CUST-00009,2024-01-11 12:19:00,Completed,Credit Card,Mobile App,9.99,0.0,39.98
ORD-000163,CUST-00009,2024-02-29 02:11:00,Completed,PayPal,Affiliate,0.0,0.0,104.97
ORD-000164,CUST-00009,2024-02-29 18:11:00,Completed,Credit Card,Affiliate,4.99,29.3,458.67
ORD-000165,CUST-00009,2024-05-07 22:54:00,Completed,PayPal,Mobile App,0.0,3.9,195.07
ORD-000166,CUST-00009,2024-05-11 00:39:00,Shipped,PayPal,Web,9.99,0.0,39.98
ORD-000167,CUST-00009,2024-07-05 05:34:00,Shipped,Credit Card,Web,4.99,8.0,372.97
ORD-000168,CUST-00009,2024-08-05 00:00:00,Completed,BNPL (Klarna/Affirm),Mobile App,9.99,7.5,82.47
ORD-000169,CUST-00009,2025-01-10 04:38:00,Completed,Credit Card,Mobile App,9.99,4.0,85.98
ORD-000170,CUST-00010,2026-01-12 07:27:00,Completed,Apple Pay,Web,0.0,0.0,81.99
ORD-000171,CUST-00010,2026-02-05 03:10:00,Completed,Credit Card,Mobile App,9.99,5.0,264.96
ORD-000172,CUST-00010,2026-02-08 12:52:00,Completed,Credit Card,Mobile App,9.99,0.0,59.98
ORD-000173,CUST-00010,2026-03-22 02:35:00,Completed,PayPal,Affiliate,0.0,7.2,40.8
ORD-000174,CUST-00010,2026-04-02 02:40:00,Completed,BNPL (Klarna/Affirm),Affiliate,0.0,14.4,116.59
ORD-000175,CUST-00010,2026-04-05 01:53:00,Completed,Apple Pay,Web,0.0,31.5,218.47
ORD-000176,CUST-00010,2026-04-19 21:45:00,Completed,Apple Pay,Affiliate,9.99,5.0,114.96
ORD-000177,CUST-00010,2026-04-21 03:48:00,Completed,Apple Pay,Mobile App,4.99,0.0,174.98
ORD-000178,CUST-00010,2026-05-04 09:54:00,Completed,Credit Card,Mobile App,4.99,0.0,604.98
ORD-000179,CUST-00010,2026-05-25 05:47:00,Completed,Apple Pay,Mobile App,14.99,53.5,1031.46
ORD-000180,CUST-00010,2026-06-25 05:05:00,Completed,PayPal,Mobile App,4.99,33.0,246.98
ORD-000181,CUST-00010,2026-06-29 01:44:00,Completed,BNPL (Klarna/Affirm),Mobile App,14.99,8.4,344.57
ORD-000182,CUST-00010,2026-06-30 09:34:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,7.5,42.48
ORD-000183,CUST-00010,2026-07-26 04:42:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,3.2,28.8
ORD-000184,CUST-00010,2026-08-11 03:07:00,Completed,PayPal,Affiliate,14.99,0.0,94.98
ORD-000185,CUST-00010,2026-08-16 02:11:00,Completed,Credit Card,Mobile App,0.0,0.0,352.97
ORD-000186,CUST-00010,2026-08-20 06:08:00,Completed,Credit Card,Mobile App,9.99,0.0,569.97
ORD-000187,CUST-00010,2026-08-31 01:30:00,Completed,PayPal,Affiliate,14.99,0.0,533.96
ORD-000188,CUST-00011,2022-11-30 15:42:00,Completed,Credit Card,Web,14.99,42.0,252.98
ORD-000189,CUST-00011,2022-11-30 18:44:00,Completed,PayPal,Mobile App,4.99,3.5,36.48
ORD-000190,CUST-00011,2023-01-09 04:56:00,Completed,Credit Card,Mobile App,4.99,0.0,504.97
ORD-000191,CUST-00011,2023-08-17 14:06:00,Completed,Credit Card,Web,14.99,0.0,164.96
ORD-000192,CUST-00011,2023-09-10 17:35:00,Completed,Apple Pay,Web,0.0,8.0,71.99
ORD-000193,CUST-00011,2024-03-14 03:42:00,Completed,Apple Pay,Web,9.99,4.8,37.19
ORD-000194,CUST-00011,2024-05-18 22:54:00,Completed,PayPal,Affiliate,9.99,0.0,169.98
ORD-000195,CUST-00011,2024-09-15 02:56:00,Completed,BNPL (Klarna/Affirm),Web,0.0,0.0,99.98
ORD-000196,CUST-00011,2024-11-01 14:37:00,Completed,PayPal,Affiliate,4.99,0.0,573.97
ORD-000197,CUST-00011,2024-12-09 15:24:00,Completed,Credit Card,Web,4.99,20.6,190.36
ORD-000198,CUST-00011,2025-06-23 05:49:00,Completed,Apple Pay,Mobile App,4.99,6.0,138.96
ORD-000199,CUST-00011,2025-10-15 19:26:00,Completed,Credit Card,Web,0.0,6.75,88.23
ORD-000200,CUST-00011,2025-12-24 11:56:00,Completed,Credit Card,Mobile App,4.99,0.0,39.98
ORD-000201,CUST-00011,2026-01-04 05:28:00,Completed,BNPL (Klarna/Affirm),Web,0.0,18.0,488.95
ORD-000202,CUST-00011,2026-04-30 15:44:00,Completed,BNPL (Klarna/Affirm),Mobile App,14.99,11.0,168.97
ORD-000203,CUST-00012,2024-01-21 19:48:00,Completed,Apple Pay,Mobile App,0.0,0.0,186.0
ORD-000204,CUST-00012,2024-01-26 15:22:00,Completed,PayPal,Mobile App,0.0,22.5,427.49
ORD-000205,CUST-00012,2024-02-01 18:16:00,Completed,Credit Card,Mobile App,0.0,3.5,66.49
ORD-000206,CUST-00012,2024-03-18 10:37:00,Returned,Credit Card,Mobile App,0.0,0.0,84.0
ORD-000207,CUST-00012,2024-08-15 02:03:00,Completed,Credit Card,Web,0.0,0.0,279.99
ORD-000208,CUST-00012,2025-02-16 09:48:00,Completed,Apple Pay,Web,0.0,21.5,334.48
ORD-000209,CUST-00012,2025-07-04 14:22:00,Completed,Credit Card,Web,14.99,5.8,67.19
ORD-000210,CUST-00012,2025-09-29 22:43:00,Cancelled,Credit Card,Mobile App,0.0,59.25,415.72
ORD-000211,CUST-00012,2026-02-16 02:43:00,Completed,PayPal,Affiliate,4.99,0.0,174.98
ORD-000212,CUST-00012,2026-03-21 00:47:00,Cancelled,Credit Card,Mobile App,9.99,0.0,194.97
ORD-000213,CUST-00013,2024-06-20 10:22:00,Completed,Credit Card,Mobile App,14.99,12.5,350.47
ORD-000214,CUST-00013,2024-11-10 11:54:00,Completed,Credit Card,Web,9.99,0.0,89.98
ORD-000215,CUST-00013,2024-11-13 08:20:00,Completed,Apple Pay,Affiliate,0.0,0.0,48.0
ORD-000216,CUST-00013,2024-12-31 08:45:00,Completed,Credit Card,Affiliate,0.0,0.0,69.99
ORD-000217,CUST-00013,2025-02-24 07:40:00,Completed,PayPal,Affiliate,0.0,0.0,34.99
ORD-000218,CUST-00013,2025-02-27 15:36:00,Completed,PayPal,Mobile App,0.0,2.0,36.98
ORD-000219,CUST-00013,2025-05-12 02:33:00,Completed,BNPL (Klarna/Affirm),Web,14.99,0.0,3414.97
ORD-000220,CUST-00013,2025-09-20 12:49:00,Completed,BNPL (Klarna/Affirm),Web,4.99,0.0,514.96
ORD-000221,CUST-00013,2025-10-11 00:20:00,Completed,PayPal,Web,0.0,12.5,237.49
ORD-000222,CUST-00013,2025-10-26 10:38:00,Completed,BNPL (Klarna/Affirm),Web,9.99,0.0,47.97
ORD-000223,CUST-00013,2025-11-01 14:38:00,Completed,Credit Card,Affiliate,0.0,0.0,100.0
ORD-000224,CUST-00013,2025-11-22 03:24:00,Cancelled,Credit Card,Affiliate,0.0,0.0,29.99
ORD-000225,CUST-00013,2025-12-18 06:52:00,Completed,Apple Pay,Affiliate,0.0,2.0,17.99
ORD-000226,CUST-00013,2026-01-24 07:45:00,Completed,PayPal,Web,0.0,0.0,149.99
ORD-000227,CUST-00013,2026-02-14 19:15:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,0.0,29.99
ORD-000228,CUST-00013,2026-03-14 15:35:00,Completed,PayPal,Mobile App,0.0,19.9,588.08
ORD-000229,CUST-00013,2026-04-09 06:59:00,Completed,Credit Card,Web,0.0,5.5,49.49
ORD-000230,CUST-00013,2026-07-02 08:04:00,Completed,PayPal,Web,9.99,0.0,49.98
ORD-000231,CUST-00013,2026-07-25 04:39:00,Completed,PayPal,Web,0.0,0.0,109.98
ORD-000232,CUST-00013,2026-08-22 01:30:00,Completed,Apple Pay,Mobile App,0.0,0.95,18.04
ORD-000233,CUST-00014,2023-11-29 00:39:00,Completed,Credit Card,Web,0.0,1.0,18.99
ORD-000234,CUST-00014,2023-12-13 03:05:00,Completed,Credit Card,Affiliate,14.99,17.25,112.74
ORD-000235,CUST-00014,2023-12-21 09:49:00,Completed,PayPal,Web,4.99,7.5,47.48
ORD-000236,CUST-00014,2023-12-22 22:36:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,0.0,185.99
ORD-000237,CUST-00014,2023-12-30 15:11:00,Completed,Apple Pay,Mobile App,0.0,17.0,152.99
ORD-000238,CUST-00014,2024-01-03 03:19:00,Completed,PayPal,Mobile App,0.0,0.0,239.97
ORD-000239,CUST-00014,2024-01-19 00:17:00,Completed,Apple Pay,Affiliate,0.0,12.5,1327.46
ORD-000240,CUST-00014,2024-01-22 11:13:00,Completed,Credit Card,Affiliate,0.0,4.6,191.37
ORD-000241,CUST-00014,2024-04-22 08:29:00,Completed,Apple Pay,Web,4.99,163.5,973.44
ORD-000242,CUST-00014,2024-09-10 13:41:00,Completed,Apple Pay,Web,0.0,76.0,568.97
ORD-000243,CUST-00014,2024-09-16 21:54:00,Completed,Credit Card,Web,9.99,0.0,73.99
ORD-000244,CUST-00014,2025-02-26 12:46:00,Completed,BNPL (Klarna/Affirm),Web,0.0,27.0,495.0
ORD-000245,CUST-00014,2025-04-03 02:46:00,Completed,Credit Card,Mobile App,0.0,0.0,26.0
ORD-000246,CUST-00014,2025-06-21 08:17:00,Completed,Credit Card,Mobile App,14.99,0.0,46.99
ORD-000247,CUST-00014,2025-07-02 05:06:00,Completed,Credit Card,Mobile App,0.0,22.35,544.64
ORD-000248,CUST-00014,2025-08-21 03:56:00,Completed,Apple Pay,Mobile App,4.99,28.5,166.48
ORD-000249,CUST-00014,2025-09-20 06:27:00,Completed,Credit Card,Mobile App,0.0,110.0,989.99
ORD-000250,CUST-00014,2025-12-10 07:29:00,Completed,Credit Card,Web,0.0,19.5,330.49
